Source_Database_Code,PatientID,PatientFirstName,PatientMiddleName,PatientLastName,PatientAddress,PatientAddress2,PatientCity,PatientState,PatientZip,PatientDOB,PatientPhone,PatientGender,ResponsiblePartyFirstName,ResponsiblePartyMiddleName,ResponsiblePartyLastName,ResponsiblePartyAddress,ResponsiblePartyAddress2,ResponsiblePartyCity,ResponsiblePartyState,ResponsiblePartyZip,ResponsiblePartyPhone,PatientSSN,PatientSuffix,PatientCellPhone,ResponsiblePartySSN,ResponsiblePartySuffix,ResponsiblePartyCellPhone,ResponsiblePartyDOB,Imagine_Propensity_to_Pay_Grade,Imagine_Propensity_to_Pay_Description,Bad_Address_Indicator,PatientRace,PatientEthnicity,patEmail,tbl_Refresh_Date,PatientPhone_norm,ResponsiblePartyPhone_norm,PatientCellPhone_norm,ResponsiblePartyCellPhone_norm,_phone_institutional_flag,_pk_composite
RADI,1012047,DANIEL,,ALLEN,7505 PINE AVE,,ATHENS,GA,30601,1976-07-09,(706)758-5480,M,DANIEL,,ALLEN,6356 ELM LN,,COLUMBUS,GA,31901,(706)758-5480,,,,,,,1976-07-09,D,,0.0,,Hispanic or Latino,,2026-05-01,7067585480,7067585480,,4783551290,False,RADI:1012047
RADZ,1012048,STEVEN,,WRIGHT,4197 PINE BLVD,,ST PETE,FL,33701,1946-02-15,(561)835-4438,M,STEVEN,,WRIGHT,4469 PINE AVE,,FORT LAUDERDALE,FL,33301,(561)835-4438,,,,,,,1946-02-15,C,,0.0,Hispanic,,,2026-05-01,5618354438,5618354438,,,False,RADZ:1012048
RADQ,1012052,SHIRLEY,M,SMITH,802 SCHOOL RD,APT 322,NORTH LAS VEGAS,NV,89030,1943-11-27,(725)368-3183,F,SHIRLEY,M,SMITH,4860 SCHOOL ST,,NORTH LAS VEGAS,NV,89030,,999-25-3442,,,,,,1973-02-13,,,0.0,,,SHIRLEYSMI827@YAHOO.COM,2026-05-01,7253683183,7253683183,,,False,RADQ:1012052
RADH,1012056,LAURA,J,HARRIS,8546 PINE DR,,HOUSTON,TX,77001,1963-11-09,(817)847-6245,F,LAURA,J,HARRIS,8003 ELM CT,,HOUSTON,TX,77001,(817)847-6245,999-54-4860,,,999-54-4860,,,1963-11-09,B,High,0.0,,,,2026-05-01,8178476245,8178476245,,,False,RADH:1012056
RADL,1012059,JOSEPH,Z,MITCHELL,2047 SPRING DR,,LEBANON,TN,37087,2004-11-16,(901)358-0362,M,JOSEPH,Z,MITCHELL,2416 SUNSET CIR,,LEBANON,TN,37087,(901)617-6226,999-72-8049,,,999-72-8049,,,2004-11-16,,,,,,,2026-05-01,9013580362,9016176226,,,False,RADL:1012059
SMED,1012061,RICHARD,P,ANDERSON,9510 HILL WAY,,AUSTIN,TX,78701,1942-12-27,(817)768-9070,M,RICHARD,P,ANDERSON,7309 SPRING PL,,SAN ANTONIO,TX,78201,(817)768-9070,999-15-1663,,,999-15-1663,,,1942-12-27,,,,White,,,2026-05-01,8177689070,8177689070,,,False,SMED:1012061
NRAA,1012063,MARK,,ADAMS,9059 CEDAR CIR,,MOUNT JULIET,TN,37122,1947-10-17,(615)552-5445,M,MARK,,ADAMS,7965 CEDAR LN,,MOUNT JULIET,TN,37122,(615)552-5445,,,,,,,1947-10-17,F,Very Low,0.0,,,,2026-05-01,6155525445,6155525445,,,False,NRAA:1012063
RADS2,1012066,MARIA,,NGUYEN,5491 MAPLE PL,,SAN ANTONIO,TX,78201,1965-07-18,(210)609-2370,F,MARIA,,NGUYEN,2876 OAK CIR,,PLANO,TX,75023,(817)217-3539,999-47-8375,,,999-47-8375,,,1965-07-18,B,,0.0,Unknown,,MARIANGU661@OUTLOOK.COM,2026-05-01,2106092370,8172173539,,,False,RADS2:1012066
RADX,1012070,CHARLES,,ANDERSON,7589 SCHOOL AVE,,AUSTIN,TX,78701,1949-04-19,(512)553-5656,M,CHARLES,,ANDERSON,8354 PARK PL,,PLANO,TX,75023,(512)553-5656,,,,,,,1949-04-19,C,Medium-High,0.0,,,,2026-05-01,5125535656,5125535656,,,False,RADX:1012070
RADE,1012074,KAREN,A,KING,3623 SCHOOL AVE,,FORT LAUDERDALE,FL,33301,1943-05-09,(407)573-5835,F,KAREN,A,KING,9650 SPRING PL,,TAMPA,FL,33601,(561)655-7238,,,,,,,1962-08-06,F,,1.0,White,,,2026-05-01,4075735835,5616557238,,,False,RADE:1012074
RADN,1012077,BRIAN,,PEREZ,5037 RIVER CIR,,COLUMBUS,OH,43201,1989-03-22,(937)304-4731,M,BRIAN,,PEREZ,7563 PINE LN,,AKRON,OH,44301,(937)304-4731,,,,,,,2006-06-04,D,Medium,0.0,Hispanic,,,2026-05-01,9373044731,9373044731,,,False,RADN:1012077
RADY,1012079,DONALD,A,WHITE,1166 SCHOOL LN,,TOLEDO,OH,43601,1992-09-23,(513)272-7220,M,DONALD,A,WHITE,2895 ELM RD,APT 395,AKRON,OH,44301,(513)272-7220,999-19-3263,,,999-19-3263,,,2001-06-16,,,1.0,,,DONALDWHI968@GMAIL.COM,2026-05-01,5132727220,5132727220,,,False,RADY:1012079
RADA,1012083,SANDRA,,HERNANDEZ,2113 SPRING ST,APT 221,KNOXVILLE,TN,37902,1948-05-02,(423)563-8520,F,SANDRA,,HERNANDEZ,2859 HILL LN,APT 39,MURFREESBORO,TN,37128,(423)563-8520,999-58-6890,,,999-58-6890,,,1948-05-02,C,,0.0,,,SANDRAHER390@YAHOO.COM,2026-05-01,4235638520,4235638520,,,False,RADA:1012083
IAI,1012085,GARY,F,WRIGHT,7187 MAPLE WAY,,DALLAS,TX,75201,1956-05-22,(972)805-6079,M,GARY,F,WRIGHT,3788 SUNSET WAY,,DALLAS,TX,75201,(972)805-6079,999-36-4571,,,999-36-4571,,,1956-05-22,,,0.0,Hispanic,,,2026-05-01,9728056079,9728056079,,,False,IAI:1012085
RADP,1012086,CHRISTOPHER,,ANDERSON,7811 CHURCH CIR,,MACON,GA,31201,1956-04-13,(478)625-7249,M,CHRISTOPHER,,ANDERSON,4563 ELM ST,,COLUMBUS,GA,31901,(478)625-7249,999-34-9638,,,999-34-9638,,,,A,Very High,0.0,,,,2026-05-01,4786257249,4786257249,,,False,RADP:1012086
RADA,1012088,LISA,E,THOMPSON,4538 PINE DR,,MOUNT JULIET,TN,37122,1990-08-17,(423)452-4821,F,LISA,E,THOMPSON,2274 OAK AVE,,MOUNT JULIET,TN,37122,(423)452-4821,,,,,,,1964-08-10,,,0.0,,,LISATHO974@AOL.COM,2026-05-01,4234524821,4234524821,,,False,RADA:1012088
PMR,1012089,RICHARD,S,PEREZ,8978 SUNSET ST,,LEBANON,TN,37087,1961-11-03,(901)847-5126,M,RICHARD,S,PEREZ,3075 MAIN RD,,MURFREESBORO,TN,37128,(865)929-0633,999-68-6031,,,999-68-6031,,,1967-02-25,F,,0.0,,,,2026-05-01,9018475126,8659290633,,,False,PMR:1012089
PXP,1012093,PATRICIA,D,WALKER,7202 CHURCH LN,,FORT LAUDERDALE,FL,33301,1954-12-09,(407)393-8019,F,PATRICIA,D,WALKER,4836 OAK AVE,,FORT LAUDERDALE,FL,33301,(407)393-8019,999-80-6683,,,999-48-3331,,,1954-12-09,,,0.0,,,,2026-05-01,4073938019,4073938019,,,False,PXP:1012093
CIRPA,1012094,BETTY,W,HARRIS,4440 OAK ST,,FORT LAUDERDALE,FL,33301,1977-03-18,,F,BETTY,W,HARRIS,1550 ELM ST,,ORLANDO,FL,32801,,999-97-6738,,,999-97-6738,,,1945-03-06,D,Medium,1.0,Black or African American,,,2026-05-01,,,,,False,CIRPA:1012094
RADM,1012095,NANCY,,LOPEZ,4878 LAKE PL,,FORT WORTH,TX,76101,2002-01-16,(972)295-2134,F,NANCY,,LOPEZ,8348 CEDAR AVE,,PLANO,TX,75023,(972)295-2134,,,,,,,,E,Low,0.0,Black or African American,,,2026-05-01,9722952134,9722952134,,,False,RADM:1012095
NRA,1012097,HELEN,,SCOTT,369 PINE ST,,KNOXVILLE,TN,37902,1986-12-23,(423)624-3094,F,HELEN,,SCOTT,5087 OAK BLVD,APT 64,NASHVILLE,TN,37201,(423)624-3094,999-82-3100,,,999-76-6366,,,1971-02-10,F,Very Low,0.0,White,,,2026-05-01,4236243094,4236243094,,,False,NRA:1012097
RADF,1012100,SHARON,,CAMPBELL,1033 SPRING CT,,LAS VEGAS,NV,89101,2002-03-15,(702)502-7420,F,SHARON,,CAMPBELL,7680 PINE LN,,LAS VEGAS,NV,89101,(725)555-9348,,,,999-83-6320,,,2002-03-15,F,,0.0,,Hispanic or Latino,,2026-05-01,7025027420,7255559348,,,False,RADF:1012100
RADK,1012104,MICHELLE,E,SCOTT,6217 PARK AVE,,MACON,GA,31201,1985-07-30,(706)831-3302,F,MICHELLE,E,SCOTT,5096 MAPLE RD,,COLUMBUS,GA,31901,(706)831-3302,999-90-5597,,,999-90-5597,,,1985-07-30,,,0.0,,,MICHELLESCO864@OUTLOOK.COM,2026-05-01,7068313302,7068313302,,,False,RADK:1012104
RADO,1012105,KENNETH,,RIVERA,4277 PINE CT,,ORLANDO,FL,32801,1985-05-31,(407)401-0608,M,KENNETH,,RIVERA,3859 HILL PL,APT 228,JACKSONVILLE,FL,32099,(407)929-3957,,,,,,,1985-05-31,D,,0.0,,,KENNETHRIV461@GMAIL.COM,2026-05-01,4074010608,4079293957,,,False,RADO:1012105
RADM,1012107,MATTHEW,W,THOMAS,5757 SUNSET ST,,HOUSTON,TX,77001,1987-11-12,(512)398-2335,M,MATTHEW,W,THOMAS,2844 SCHOOL CT,,SAN ANTONIO,TX,78201,,999-29-4196,,,999-29-4196,,,1987-11-12,E,,0.0,White,,,2026-05-01,5123982335,2108167198,,,False,RADM:1012107
RADU,1012108,DONNA,,WHITE,6954 SUNSET ST,,JACKSONVILLE,FL,32099,2002-07-30,(407)425-7999,F,DONNA,,WHITE,6832 MAPLE CT,,TAMPA,FL,33601,(407)425-7999,,,,,,,1955-03-03,,,1.0,Asian,,DONNAWHI503@GMAIL.COM,2026-05-01,4074257999,4074257999,,,False,RADU:1012108
ESR,1012110,THOMAS,D,WHITE,7324 RIVER BLVD,,ST PETE,FL,33701,1955-02-22,(407)490-4166,M,THOMAS,D,WHITE,7101 PARK WAY,,ORLANDO,FL,32801,,999-68-1776,,,999-68-1776,,,1955-02-22,A,Very High,0.0,,,THOMASWHI359@YAHOO.COM,2026-05-01,4074904166,4074904166,,,False,ESR:1012110
RADK,1012111,JOHN,D,FLORES,9277 SUNSET RD,APT 170,AUGUSTA,GA,30901,1959-03-28,(404)328-7002,M,JOHN,D,FLORES,8054 OAK WAY,,ATHENS,,30601,(404)328-7002,999-73-1156,,,,,,1959-03-28,D,,0.0,,,JOHNFLO434@GMAIL.COM,2026-05-01,4043287002,4043287002,,,False,RADK:1012111
RADI2,1012112,ANTHONY,,ALLEN,930 CHURCH LN,APT 51,DAYTON,OH,45401,1968-07-28,(614)930-1447,M,ANTHONY,,ALLEN,9843 HILL RD,,CLEVELAND,OH,44101,(614)930-1447,999-79-5877,,,999-79-5877,,,1980-08-27,,,1.0,,,ANTHONYALL680@HOTMAIL.COM,2026-05-01,6149301447,6149301447,,,False,RADI2:1012112
CRC,1012114,LINDA,,CAMPBELL,2456 LAKE PL,,AKRON,OH,44301,1977-10-31,(419)785-9602,F,LINDA,,CAMPBELL,2588 PARK PL,,AKRON,OH,44301,(419)916-4144,999-93-1496,,,999-93-1496,,,1977-10-31,,,0.0,,,LINDACAM292@HOTMAIL.COM,2026-05-01,4197859602,4199164144,,,False,CRC:1012114
RADH,1012116,JENNIFER,,MARTINEZ,779 SUNSET DR,,SAN ANTONIO,TX,78201,1989-01-05,(817)280-2171,F,JENNIFER,,MARTINEZ,6115 SPRING PL,,FORT WORTH,TX,76101,(512)224-3307,999-37-8913,,,,,,1993-05-16,C,,,White,,,2026-05-01,8172802171,5122243307,,,False,RADH:1012116
GSIA,1012118,LISA,,RICE,4674 MAPLE CT,,PLANO,TX,75023,2002-08-13,(512)645-1543,F,LISA,,RICE,590 ELM BLVD,,SAN ANTONIO,TX,78201,(512)645-1543,,,,999-42-3968,,,2002-08-13,,,0.0,,,,2026-05-01,5126451543,5126451543,,,False,GSIA:1012118
ACRB,1012121,SHARON,M,MITCHELL,7137 SCHOOL AVE,,AKRON,OH,44301,1943-11-26,(216)930-4684,F,SHARON,M,MITCHELL,6695 OAK CT,APT 415,COLUMBUS,OH,43201,(216)930-4684,,,,,,,1989-04-25,,,0.0,White,,,2026-05-01,2169304684,2169304684,,,False,ACRB:1012121
RASFA,1012122,JOSE,V,NELSON,1377 PINE RD,,AUSTIN,TX,78701,1960-11-04,(972)963-0448,M,JOSE,V,NELSON,131 PINE CT,APT 78,HOUSTON,TX,77001,(972)963-0448,,,,999-70-7704,,,1960-11-04,,,1.0,,,JOSENEL797@YAHOO.COM,2026-05-01,9729630448,9729630448,,,False,RASFA:1012122
SMED,1012124,KIMBERLY,,GARCIA,4194 RIVER WAY,,AUSTIN,TX,78701,1953-02-09,(214)873-2383,F,KIMBERLY,,GARCIA,2772 SCHOOL AVE,,FORT WORTH,TX,76101,(214)873-2383,,,,,,,1953-02-09,,,,Other,,,2026-05-01,2148732383,2148732383,,,False,SMED:1012124
CRC,1012128,KEVIN,,GARCIA,3436 PARK AVE,,CLEVELAND,OH,44101,1944-06-22,(419)724-0838,M,KEVIN,,GARCIA,9763 RIVER LN,,DAYTON,OH,45401,(419)724-0838,,,,,,,1944-06-22,E,Low,0.0,White,,,2026-05-01,4197240838,4197240838,,,False,CRC:1012128
RADP,1012132,DANIEL,,CARTER,4626 ELM LN,APT 455,SAVANNAH,GA,31401,1988-04-01,(912)301-0548,M,DANIEL,,CARTER,7825 SPRING BLVD,,MACON,GA,31201,(404)700-3812,999-12-9351,,,999-12-9351,,,1988-04-01,E,Low,0.0,,,,2026-05-01,9123010548,4047003812,,,False,RADP:1012132
RADT,1012136,ELIZABETH,B,RODRIGUEZ,3186 LAKE RD,,COLUMBUS,OH,43201,1974-02-18,(513)385-3233,F,ELIZABETH,B,RODRIGUEZ,6810 CEDAR CIR,,CLEVELAND,OH,44101,(513)385-3233,999-35-7849,,,,,,1974-02-18,E,Low,1.0,White,Not Hispanic,,2026-05-01,5133853233,5133853233,,,False,RADT:1012136
RADT,1012139,ELIZABETH,P,WHITE,8320 HILL AVE,,COLUMBUS,OH,43201,1950-06-05,(513)626-5445,F,ELIZABETH,P,WHITE,4507 OAK PL,,CINCINNATI,OH,45201,(330)818-0545,999-68-2794,,,999-68-2794,,,1950-06-05,,,0.0,,,ELIZABETHWHI281@AOL.COM,2026-05-01,5136265445,3308180545,,,False,RADT:1012139
RADR,1012143,JENNIFER,T,WRIGHT,8228 AMANA DR,APT 397,MURFREESBORO,TN,37128,1975-07-30,(615)336-1712,F,JENNIFER,T,WRIGHT,7799 CHURCH CT,,KNOXVILLE,TN,37902,(931)686-0648,,,,,,,1963-03-21,,,0.0,,,,2026-05-01,6153361712,9316860648,,,False,RADR:1012143
ACRB,1012147,JAMES,A,WALKER,8972 LAKE LN,,DAYTON,OH,45401,1996-08-22,(614)400-8404,M,JAMES,A,WALKER,5128 RIVER BLVD,APT 7,TOLEDO,OH,43601,(419)978-7734,999-73-9930,,,999-73-9930,,,1942-03-31,A,,,White,,,2026-05-01,6144008404,4199787734,,,False,ACRB:1012147
RADB,1012151,KEVIN,J,CARTER,7877 SCHOOL DR,,DALLAS,TX,75201,1996-03-07,(214)762-4597,M,KEVIN,J,CARTER,6420 SPRING BLVD,,DALLAS,TX,75201,(214)762-4597,,,,,,,2007-02-04,,,1.0,,,,2026-05-01,2147624597,2147624597,,,False,RADB:1012151
IAI,1012155,DEBORAH,,TORRES,3107 LAKE AVE,,SAN ANTONIO,TX,78201,1989-11-26,(512)865-0719,F,DEBORAH,,TORRES,9781 RIVER DR,,FORT WORTH,TX,76101,(512)880-9171,,,,,,,1989-11-26,,,0.0,,,DEBORAHTOR112@GMAIL.COM,2026-05-01,5128650719,5128809171,,,False,IAI:1012155
RADP,1012159,ANGELA,F,WALKER,9933 PARK WAY,,ATLANTA,GA,30301,1948-06-04,(404)842-5564,F,ANGELA,F,WALKER,7052 CEDAR LN,,SAVANNAH,GA,31401,(706)990-8654,,,,999-83-6251,,,1948-06-04,,,,,,,2026-05-01,4048425564,7069908654,,,False,RADP:1012159
RADQ,1012162,ANGELA,F,RICE,8340 LAKE PL,,CARSON CITY,NV,89701,1975-12-20,(725)951-4072,F,ANGELA,F,RICE,4276 SCHOOL ST,,CARSON CITY,NV,89701,(725)951-4072,,,,,,,1975-12-20,,,0.0,,,ANGELARIC290@OUTLOOK.COM,2026-05-01,7259514072,7259514072,,,False,RADQ:1012162
NRAA,1012163,SUSAN,A,SANCHEZ,3929 AMANA AVE,,MOUNT JULIET,TN,37122,1996-03-15,(423)925-0377,F,SUSAN,A,SANCHEZ,6605 ELM ST,,FRANKLIN,TN,37064,(423)925-0377,,,,,,,1996-03-15,A,,,,,SUSANSAN441@AOL.COM,2026-05-01,4239250377,4239250377,,,False,NRAA:1012163
GSIA,1012164,BETTY,,YOUNG,2294 PARK CT,,PLANO,TX,75023,1951-02-18,(817)504-7646,F,BETTY,,YOUNG,4018 OAK ST,,DALLAS,TX,75201,(817)504-7646,,,,,,,,A,Very High,0.0,Other,,,2026-05-01,8175047646,8175047646,,,False,GSIA:1012164
RADK,1012165,LARRY,L,LEWIS,6645 MAIN ST,APT 149,SAVANNAH,GA,31401,1994-04-20,(912)685-9144,M,LARRY,L,LEWIS,5559 MAIN ST,,SAVANNAH,GA,31401,(912)685-9144,,,,,,,1994-04-20,C,,0.0,White,,LARRYLEW86@OUTLOOK.COM,2026-05-01,9126859144,9126859144,,,False,RADK:1012165
ACR,1012169,STEVEN,,JACKSON,4051 ELM ST,,CINCINNATI,OH,45201,2001-10-06,(614)942-0400,M,STEVEN,,JACKSON,2492 MAIN PL,,AKRON,OH,44301,(419)844-3549,999-27-6810,,,,,,2001-10-06,C,,0.0,White,,,2026-05-01,6149420400,4198443549,,,False,ACR:1012169
RADN,1012171,JOSE,K,RICE,6722 HILL DR,,CLEVELAND,OH,44101,1944-05-09,,M,JOSE,K,RICE,7177 AMANA DR,,TOLEDO,OH,43601,,999-19-9952,,,999-19-9952,,,1944-05-09,,,0.0,White,,,2026-05-01,,,,,False,RADN:1012171
RADI2,1012172,CYNTHIA,C,YOUNG,292 SUNSET WAY,,COLUMBUS,OH,43201,1956-02-09,(330)816-7371,F,CYNTHIA,C,YOUNG,2141 PARK CIR,APT 47,DAYTON,OH,45401,(513)563-1024,,,,,,,1956-02-09,A,Very High,,,,,2026-05-01,3308167371,5135631024,,,False,RADI2:1012172
WRAD,1012175,CYNTHIA,,MOORE,2995 LAKE WAY,,CARSON CITY,NV,89701,1962-03-23,(725)762-6941,F,CYNTHIA,,MOORE,2116 CEDAR DR,,NORTH LAS VEGAS,NV,89030,(725)762-6941,,,,,,,1962-03-23,F,,1.0,,,CYNTHIAMOO320@OUTLOOK.COM,2026-05-01,7257626941,7257626941,,,False,WRAD:1012175
RADL,1012178,MICHAEL,H,CARTER,9008 HILL RD,,FRANKLIN,TN,37064,1957-04-20,(615)942-2139,M,MICHAEL,H,CARTER,285 SUNSET RD,,KNOXVILLE,TN,37902,(423)970-3839,999-54-8973,,,999-54-8973,,,1957-04-20,,,0.0,,,,2026-05-01,6159422139,4239703839,,,False,RADL:1012178
RADY,1012182,MATTHEW,,JONES,2811 RIVER BLVD,,DAYTON,OH,45401,1971-07-15,,M,MATTHEW,,JONES,1248 SPRING WAY,,COLUMBUS,OH,43201,,,,,,,,,,,,,,,2026-05-01,,,,,False,RADY:1012182
MRB,1012186,CAROL,B,THOMAS,9142 PARK CT,,KNOXVILLE,TN,37902,1961-03-08,(615)516-0933,F,CAROL,B,THOMAS,8314 ELM PL,,MURFREESBORO,TN,37128,(615)547-3903,,,,,,,1975-07-22,,,0.0,Other,,,2026-05-01,6155160933,6155473903,,,False,MRB:1012186
RADX,1012187,CAROL,E,WALKER,1421 PINE AVE,,PLANO,TX,75023,1951-10-28,(214)535-8804,F,CAROL,E,WALKER,3844 LAKE BLVD,,DALLAS,TX,75201,(214)535-8804,999-70-8253,,,999-70-8253,,,1951-10-28,D,Medium,0.0,,,,2026-05-01,2145358804,2145358804,,,False,RADX:1012187
RADK,1012189,NANCY,F,WILSON,4964 HILL BLVD,,COLUMBUS,GA,31901,1981-09-17,(770)966-7339,F,NANCY,F,WILSON,503 RIVER LN,,COLUMBUS,GA,31901,(912)736-1742,,,,,,,1981-09-17,E,Low,,,,,2026-05-01,7709667339,9127361742,,,False,RADK:1012189
RADP,1012191,EDWARD,,RIVERA,8028 SUNSET LN,,COLUMBUS,GA,31901,1992-03-26,(678)554-7586,M,EDWARD,,RIVERA,8895 RIVER AVE,,MACON,GA,31201,(404)291-4594,,,,999-66-9752,,,,D,,0.0,,,,2026-05-01,6785547586,4042914594,,,False,RADP:1012191
RADU,1012193,DONALD,,SANCHEZ,736 HILL BLVD,,JACKSONVILLE,FL,32099,1976-09-12,(561)385-4379,M,DONALD,,SANCHEZ,8570 PINE ST,,TAMPA,FL,33601,(305)336-6958,999-31-2542,,,999-31-2542,,,1976-09-12,,,,,,DONALDSAN689@YAHOO.COM,2026-05-01,5613854379,3053366958,,,False,RADU:1012193
RADX,1012196,DOROTHY,E,TAYLOR,5653 SPRING DR,,HOUSTON,TX,77001,1998-08-16,(817)497-5201,F,DOROTHY,E,TAYLOR,1542 OAK BLVD,APT 256,PLANO,TX,75023,(210)636-9522,999-33-9597,,,,,,1963-05-06,,,0.0,Hispanic,,,2026-05-01,8174975201,2106369522,,,False,RADX:1012196
CIRPA,1012198,CYNTHIA,,THOMPSON,7405 MAIN BLVD,APT 375,TAMPA,FL,33601,1979-08-03,(561)640-0306,F,CYNTHIA,,THOMPSON,9182 MAIN BLVD,,TAMPA,FL,33601,(407)216-1413,999-92-7820,,,999-92-7820,,,1979-08-03,C,Medium-High,,Other,,,2026-05-01,5616400306,4072161413,,,False,CIRPA:1012198
RADS2,1012200,SUSAN,R,NELSON,3664 ELM LN,APT 162,DALLAS,TX,75201,1944-01-21,,F,SUSAN,R,NELSON,3032 AMANA DR,,HOUSTON,TX,77001,,,,,999-40-3643,,,1979-01-31,C,,0.0,Hispanic,,,2026-05-01,,,,,False,RADS2:1012200
RADI,1012202,MARGARET,V,ALLEN,1224 ELM AVE,APT 160,SAVANNAH,GA,31401,1979-11-24,,F,MARGARET,V,ALLEN,8029 MAIN LN,,COLUMBUS,GA,31901,,,,,,,,1964-08-30,D,,0.0,,,,2026-05-01,,,,,False,RADI:1012202
RADC,1012205,MARIA,N,DAVIS,7307 RIVER PL,,CINCINNATI,OH,45201,1964-08-27,(614)480-9626,F,MARIA,N,DAVIS,8822 CHURCH LN,,CLEVELAND,OH,44101,,999-51-4670,,,999-87-1652,,,1964-08-27,A,,1.0,Asian,,MARIADAV417@GMAIL.COM,2026-05-01,6144809626,6144809626,,,False,RADC:1012205
PXP,1012207,MARGARET,P,FLORES,8641 ELM AVE,,JACKSONVILLE,FL,32099,1949-08-23,(954)487-3477,F,MARGARET,P,FLORES,2077 ELM WAY,,ORLANDO,FL,32801,(561)734-6936,999-42-9618,,,999-42-9618,,,1985-10-27,,,0.0,,,,2026-05-01,9544873477,5617346936,,,False,PXP:1012207
RADL,1012208,RUTH,B,BROWN,7940 PINE LN,APT 111,FRANKLIN,TN,37064,1995-02-14,(423)277-3616,F,RUTH,B,BROWN,2585 MAIN LN,,FRANKLIN,TN,37064,(901)829-0923,,,,,,,1995-02-14,,,,,Not Hispanic,,2026-05-01,4232773616,9018290923,,6155978768,False,RADL:1012208
RADU,1012210,DONNA,,BROWN,6631 OAK CT,,FORT LAUDERDALE,FL,33301,2001-11-27,(813)429-3586,F,DONNA,,BROWN,800 AMANA PL,,TAMPA,FL,33601,(904)409-4043,999-17-3777,,,,,,1986-05-05,A,Very High,0.0,,,DONNABRO836@YAHOO.COM,2026-05-01,8134293586,9044094043,,,False,RADU:1012210
SMED,1012212,EDWARD,Z,MARTIN,1827 CEDAR PL,,FORT WORTH,TX,76101,2005-08-01,(972)525-1975,M,EDWARD,Z,MARTIN,4284 RIVER WAY,,FORT WORTH,TX,76101,(972)525-1975,999-39-4014,,,999-39-4014,,,2005-08-01,D,,,Black or African American,,,2026-05-01,9725251975,9725251975,,,False,SMED:1012212
RADH,1012216,WILLIAM,K,TORRES,9390 RIVER CT,,HOUSTON,TX,77001,1990-02-17,(210)666-8597,M,WILLIAM,K,TORRES,533 ELM RD,,AUSTIN,TX,78701,(210)510-4785,999-65-5460,,,999-60-6241,,,1990-02-17,,,,,,,2026-05-01,2106668597,2105104785,,,False,RADH:1012216
RADA,1012218,KAREN,,ANDERSON,5740 SPRING RD,,MOUNT JULIET,TN,37122,1981-10-18,(931)684-8202,F,KAREN,,ANDERSON,349 SUNSET LN,,NASHVILLE,TN,37201,(931)684-8202,,,,,,,1981-10-18,,,0.0,White,Not Hispanic,KARENAND845@OUTLOOK.COM,2026-05-01,9316848202,9316848202,,,False,RADA:1012218
MRB,1012219,JOHN,E,ROBINSON,5852 ELM PL,,MURFREESBORO,TN,37128,1949-06-23,(615)558-7204,M,JOHN,E,ROBINSON,2002 PINE WAY,,LEBANON,TN,37087,(615)558-7204,,,,,,,1949-06-23,F,,0.0,Black or African American,,,2026-05-01,6155587204,6155587204,,,False,MRB:1012219
RADZ,1012220,HELEN,D,NGUYEN,6484 PARK RD,,FORT LAUDERDALE,FL,33301,2004-11-07,(305)803-9919,F,HELEN,D,NGUYEN,5363 RIVER CT,,ST PETE,FL,33701,(305)803-9919,,,,,,,2004-11-07,A,,0.0,White,,HELENNGU279@OUTLOOK.COM,2026-05-01,3058039919,3058039919,,,False,RADZ:1012220
RADM,1012223,DEBORAH,,LEE,6912 LAKE RD,,DALLAS,TX,75201,1985-03-10,(713)721-3616,F,DEBORAH,,LEE,9179 PARK BLVD,APT 150,AUSTIN,TX,78701,(972)395-1762,999-13-4176,,,999-13-4176,,,1996-08-08,D,Medium,0.0,Black or African American,,,2026-05-01,7137213616,9723951762,,,False,RADM:1012223
NRAA,1012226,DANIEL,G,LEWIS,7335 OAK AVE,,MOUNT JULIET,TN,37122,1993-02-26,(865)775-4038,M,DANIEL,G,LEWIS,8230 SPRING CT,,LEBANON,TN,37087,(423)669-5494,,,,999-44-6378,,,1954-03-09,,,0.0,,Not Hispanic,,2026-05-01,8657754038,4236695494,,,False,NRAA:1012226
RADO,1012230,HELEN,T,JACKSON,839 ELM BLVD,,ORLANDO,FL,32801,1997-05-08,(305)309-6451,F,HELEN,T,JACKSON,9778 MAPLE LN,,ORLANDO,FL,32801,(305)309-6451,,,,,,,1997-05-08,A,Very High,0.0,White,Not Hispanic,,2026-05-01,3053096451,3053096451,,,False,RADO:1012230
IAI,1012232,LISA,,RIVERA,2812 CHURCH DR,,FORT WORTH,TX,76101,1985-05-14,(713)272-7896,F,LISA,,RIVERA,2131 PINE PL,,SAN ANTONIO,TX,78201,(713)272-7896,999-61-2117,,,,,,1968-03-15,F,,0.0,Hispanic,,LISARIV641@AOL.COM,2026-05-01,7132727896,7132727896,,,False,IAI:1012232
ACR,1012236,PAUL,,BROWN,9342 SUNSET AVE,,CINCINNATI,OH,45201,1984-01-21,(419)391-2533,M,PAUL,,BROWN,3812 AMANA CT,,CINCINNATI,OH,45201,,999-79-9559,,,999-79-9559,,,1984-01-21,,,,,,PAULBRO58@AOL.COM,2026-05-01,4193912533,4193912533,,,False,ACR:1012236
